Position,Group_0,Group_1
1,2.0,0.0
2,2.0,0.0
3,2.0,0.0
4,2.0,0.0
5,2.0,0.0
6,2.0,0.0
7,1.7142857142857142,0.2857142857142857
8,1.75,0.25
9,1.7777777777777777,0.2222222222222222
10,1.6,0.4
11,1.6363636363636365,0.36363636363636365
12,1.6666666666666667,0.3333333333333333
13,1.5384615384615385,0.46153846153846156
14,1.4285714285714286,0.5714285714285714
15,1.3333333333333333,0.6666666666666666
16,1.375,0.625
17,1.2941176470588236,0.7058823529411765
18,1.3333333333333333,0.6666666666666666
19,1.368421052631579,0.631578947368421
20,1.3,0.7
21,1.2380952380952381,0.7619047619047619
22,1.1818181818181819,0.8181818181818182
23,1.1304347826086956,0.8695652173913043
24,1.0833333333333333,0.9166666666666666
25,1.04,0.96
26,1.0769230769230769,0.9230769230769231
27,1.037037037037037,0.9629629629629629
28,1.0714285714285714,0.9285714285714286
29,1.103448275862069,0.896551724137931
30,1.1333333333333333,0.8666666666666667
31,1.096774193548387,0.9032258064516129
32,1.0625,0.9375
33,1.0303030303030303,0.9696969696969697
34,1.0,1.0
35,1.0285714285714285,0.9714285714285714
36,1.0,1.0
37,0.972972972972973,1.027027027027027
38,0.9473684210526315,1.0526315789473684
39,0.9230769230769231,1.0769230769230769
40,0.9,1.1
41,0.926829268292683,1.0731707317073171
42,0.9047619047619048,1.0952380952380953
43,0.9302325581395349,1.069767441860465
44,0.9090909090909091,1.0909090909090908
45,0.9333333333333333,1.0666666666666667
46,0.9565217391304348,1.0434782608695652
47,0.9787234042553191,1.0212765957446808
48,1.0,1.0
49,0.9795918367346939,1.0204081632653061
50,1.0,1.0
