doc_id,Name,Gender,predictions,GT_score,Gender
1,robert zinser,male,2.62,2.62,male
2,carmen manzanares,female,2.32,2.32,female
3,sheila trovato,female,2.07,2.07,female
4,dave jackson,male,2.04,2.04,male
5,eva downs,female,1.93,1.93,female
8,tania quinonez,male,1.81,1.81,male
9,edwin mtei,male,1.63,1.63,male
6,patsy kennedy,female,1.9,1.9,female
10,john mompremier,male,1.59,1.59,male
12,shameel koya,male,1.57,1.57,male
15,luis mora,male,1.43,1.43,male
7,alison coutain,female,1.87,1.87,female
19,wayne zafir,male,1.22,1.22,male
20,patrick burrows,male,1.02,1.02,male
11,magalys aulet,female,1.58,1.58,female
22,dyontae ferguson,male,0.89,0.89,male
23,andre ashley,male,0.83,0.83,male
13,carolyn weaver,female,1.52,1.52,female
24,ben ali,male,0.8,0.8,male
25,luis taveras,male,0.78,0.78,male
26,steven kitt,male,0.77,0.77,male
14,farrah jean,female,1.5,1.5,female
29,randail spencer,male,0.71,0.71,male
31,vanessa vedrine,male,0.63,0.63,male
16,candace oneal,female,1.39,1.39,female
32,claudio tamarez,male,0.6,0.6,male
39,etienne dozil,male,0.03,0.03,male
17,natalie roldan,female,1.25,1.25,female
43,aaron gilliam,male,-0.13,-0.13,male
44,tyrel fairclough,male,-0.15,-0.15,male
45,sean harris,male,-0.17,-0.17,male
18,doreena nicholas,female,1.24,1.24,female
46,michael bryant,male,-0.23,-0.23,male
48,thomas papacosmas,male,-0.28,-0.28,male
21,courtney robichaud,female,0.91,0.91,female
49,jeffrey forrest,male,-0.78,-0.78,male
50,dewayne curry,male,-0.9,-0.9,male
27,dominique akins,female,0.76,0.76,female
28,jessica garcia,female,0.72,0.72,female
30,jasmine cureton,female,0.68,0.68,female
33,yolani moratz,female,0.56,0.56,female
34,ralph johnson,female,0.5,0.5,female
35,valerie corker,female,0.4,0.4,female
36,joanne evans,female,0.36,0.36,female
37,sara gerald,female,0.2,0.2,female
38,rebecca lowery,female,0.11,0.11,female
40,janice demps,female,0.02,0.02,female
41,precious mccray,female,0.01,0.01,female
42,michelle micoff,female,-0.11,-0.11,female
47,olivia marshall,female,-0.25,-0.25,female
