,doc_id,Name,Gender,predictions,GT_score,Gender.1
0,43,celia wagner,female,2.67,2.67,female
1,103,cheryl smith,female,2.53,2.53,female
2,134,mary watson,female,2.46,2.46,female
3,261,maria cecil,female,2.22,2.22,female
4,264,ella burburan,female,2.21,2.21,female
5,310,maxine peart,female,2.14,2.14,female
6,361,carmen fontes,female,2.06,2.06,female
7,497,shane forshaw,female,1.89,1.89,female
8,530,kim anthony,female,1.87,1.87,female
9,577,craig gilbert,female,1.82,1.82,female
10,684,lea ferrer,female,1.72,1.72,female
11,832,wilfredo torres,male,1.59,1.59,male
12,831,johnnie randell,female,1.59,1.59,female
13,878,paulette clarke,male,1.57,1.57,male
14,975,andriane kirkpatrick,female,1.49,1.49,female
15,1037,ebony jones,female,1.45,1.45,female
16,1277,linda etienne,female,1.29,1.29,female
17,1363,sonia burca,female,1.24,1.24,female
18,1424,phylipe raphael,male,1.21,1.21,male
19,1460,matthew rodriguez,male,1.19,1.19,male
20,1550,nelson avalo,male,1.14,1.14,male
21,1837,gabriel lopez,male,0.98,0.98,male
22,1855,eugene previl,male,0.98,0.98,male
23,1881,salvatoris williams,female,0.96,0.96,female
24,1882,juan guacaneme,male,0.96,0.96,male
25,1939,james fox,male,0.94,0.94,male
26,1954,romania graham,female,0.93,0.93,female
27,1951,ronald singletary,male,0.93,0.93,male
28,2023,kensley petit-frere,male,0.9,0.9,male
29,2420,willie morris,male,0.72,0.72,male
30,2464,shawanda johnson,female,0.69,0.69,female
31,2557,bianca adhemar,female,0.67,0.67,female
32,2717,karen cypress,female,0.58,0.58,female
33,2778,alicia jackson,female,0.56,0.56,female
34,3077,anthony pires,male,0.42,0.42,male
35,3210,aubrey perry,male,0.36,0.36,male
36,3349,rachel otto,female,0.29,0.29,female
37,3463,marcus harvey,male,0.25,0.25,male
38,3538,andres caicedo,male,0.2,0.2,male
39,3569,gary hrinda,male,0.19,0.19,male
40,3632,john clark,male,0.16,0.16,male
41,3899,dean parks,male,0.02,0.02,male
42,4004,mark montalvo,male,-0.04,-0.04,male
43,4124,luis velasques,male,-0.13,-0.13,male
44,4210,shamika conyers,female,-0.18,-0.18,female
45,4312,kataruis brantley,male,-0.26,-0.26,male
46,4496,tammy trotter,female,-0.41,-0.41,female
47,4524,michael gallo,male,-0.44,-0.44,male
48,4869,samuel roberts,male,-0.96,-0.96,male
49,4900,andrew tarr,male,-1.1,-1.1,male
