doc_id,D,name,sex,Points,CareerPoints
1,1,Paul Pierce,male,26397,26397
4,4,Kyle Korver,female,11713,11713
5,5,Terry Catledge,female,6520,6520
2,2,Mark Jackson,male,13932,13932
6,6,Tracy Murray,female,6458,6458
8,8,Travis Best,female,5957,5957
3,3,Bill Cartwright,male,12713,12713
9,9,Nikki McCray,female,2550,2550
10,10,Joe Hassett,female,2079,2079
12,12,Latasha Byears,female,1935,1935
7,7,Greg Anthony,male,5971,5971
14,14,Elaine Powell,female,1505,1505
15,15,Teresa Weatherspoon,female,1264,1264
11,11,John Lambert,male,2049,2049
18,18,Alicia Thompson,female,759,759
19,19,Janice Braxton,female,733,733
13,13,Greg Minor,male,1902,1902
20,20,Jay Williams,female,714,714
21,21,Andre Spencer,female,692,692
22,22,Phil Pressey,female,544,544
16,16,Jack Kerris,male,1137,1137
23,23,Suzie McConnell Serio,female,521,521
24,24,Shannon Bobbitt,female,377,377
17,17,Ron Reed,male,951,951
25,25,Kate Starbird,female,373,373
27,27,Laura Harper,female,338,338
26,26,Mark Radford,male,347,347
28,28,Taurean Waller-Prince,female,335,335
29,29,Rebekah Gardner,female,295,295
31,31,Kaila Charles,female,242,242
30,30,Dalibor Bagaric,male,251,251
33,33,Yelena Leuchanka,female,207,207
34,34,Robin Threatt-Elliott,female,155,155
32,32,Paul Zipser,male,240,240
36,36,Adrienne Shuler,female,89,89
37,37,Mikiah Herbert Harrigan,female,79,79
35,35,Marques Bragg,male,131,131
38,38,Alex Poythress,female,64,64
39,39,Rachel Hollivay,female,48,48
40,40,Amanda Thompson,female,47,47
42,42,James Augustine,male,42,42
41,41,Justin Harper,female,45,45
44,44,Adut Bulgak,female,36,36
43,43,Clifford Lett,male,38,38
45,45,Kamiah Smalls,female,31,31
46,46,Gennifer Brandon,female,28,28
47,47,Erin Grant,female,25,25
48,48,Kimberly Beck,female,17,17
49,49,Shay Doron,female,10,10
50,50,Chandra Johnson,female,6,6
