q_id,doc_id,Gender,Name,NumSeasons,AvgPER,CareerPoints,BTN,NMSOR,GAPI
1,1,male,Carmelo Anthony,16,21.02,26126,male,female,male
1,2,male,Jeff Malone,17,13.94,18679,male,male,male
1,3,male,Junior Bridgeman,12,15.2,11517,male,female,male
1,4,male,John Lucas,22,13.5,11098,male,male,male
1,5,male,Jon McGlocklin,11,12.99,9169,male,male,male
1,6,male,Carl Landry,13,17.24,7787,male,male,male
1,7,male,Jared Dudley,12,12.99,6492,male,female,male
1,8,female,DeWanna Bonner,13,19.56,6184,female,female,female
1,9,male,Shaun Livingston,18,11.6,5317,male,female,male
1,10,male,Danny Green,8,13.28,4155,male,female,male
1,11,female,Chasity Melvin,12,16.31,3814,female,female,female
1,12,male,George Trapp,6,12.92,3353,male,female,male
1,13,female,Merlakia Jones,8,13.99,2353,female,female,female
1,14,female,Coco Miller,12,10.61,2032,female,female,female
1,15,female,Brittney Sykes,6,14.37,2019,female,female,female
1,16,male,Reggie Harding,4,11.35,1839,male,female,male
1,17,male,Brian Scalabrine,11,7.47,1594,male,female,male
1,18,male,Butch Lee,6,9.23,1546,female,female,male
1,19,female,Erlana Larkins,9,15.46,1445,female,female,female
1,20,female,Tayler Hill,6,12.52,1280,female,female,female
1,21,female,Marina Mabrey,4,14.97,1203,female,female,female
1,22,female,Ukari Figgs,5,13.24,980,female,female,male
1,23,female,Alex Montgomery,8,9.06,902,female,female,male
1,24,female,Yvonne Turner,4,8.83,529,female,female,female
1,25,female,Chantel Tremitiere,4,7.88,438,female,female,female
1,26,male,Dontonio Wingfield,4,7.45,423,female,male,male
1,27,male,Troy Williams,3,9.77,370,male,female,male
1,28,male,Lawrence Roberts,2,13.6,334,male,female,male
1,29,male,Gary Garland,1,10.2,334,male,female,male
1,30,female,Andrea Nagy,4,6.6,327,male,female,female
1,31,female,Tausha Mills,4,8.53,267,female,female,female
1,32,female,Evanthia Maltsi,1,12.4,147,female,female,female
1,33,male,Fred VanVleet,1,10.5,107,male,male,male
1,34,female,Naomi Mulitauaopele,1,10.4,99,female,female,female
1,35,female,Sandra Van Embricqs,1,10.9,94,female,female,female
1,36,female,Adrienne Shuler,1,10.5,89,female,female,female
1,37,female,Pauline Jordan,1,11.0,74,female,female,female
1,38,male,Scott Meents,2,10.65,72,male,female,male
1,39,female,A'dia Mathies,1,6.0,68,female,female,female
1,40,female,Rui Machida,1,6.6,65,male,female,male
1,41,female,Stacy Frese,1,12.5,62,female,female,female
1,42,female,Rachel Hollivay,2,7.7,48,female,female,female
1,43,male,Jamel Thomas,4,7.65,47,female,female,male
1,44,male,Stanley Brundy,1,10.1,37,male,male,male
1,45,female,Adut Bulgak,2,16.6,36,female,female,female
1,46,male,Jerry Baskerville,1,8.0,26,female,female,male
1,47,male,Eddie Owens,1,8.8,21,female,female,male
1,48,male,John Pinone,1,7.8,20,male,male,male
1,49,female,Stephanie Watts,1,2.4,15,female,female,female
1,50,male,Phil Martin,1,6.6,12,male,female,male
