,doc_id,Name,Gender,predictions,GT_score,Gender.1
0,134,mary watson,female,2.46,2.46,female
1,351,mary oneal,female,2.08,2.08,female
2,359,denise jackson-minott,female,2.07,2.07,female
3,457,patricia cerra,female,1.94,1.94,female
4,684,lea ferrer,female,1.72,1.72,female
5,735,norma villalobos,female,1.67,1.67,female
6,1044,stefanie miranda,female,1.45,1.45,female
7,1127,cedric fraser,male,1.39,1.39,male
8,1171,abnel benjamin,male,1.36,1.36,male
9,1284,trena collier,female,1.29,1.29,female
10,1308,elsa tejada,female,1.28,1.28,female
11,1314,joseph janes,male,1.27,1.27,male
12,1429,ryan dundas,male,1.2,1.2,male
13,1427,wendy richland,female,1.2,1.2,female
14,1454,diane perez,female,1.19,1.19,female
15,1580,trevor duhaney,male,1.12,1.12,male
16,1672,timara wimber,female,1.07,1.07,female
17,1700,hope avery,female,1.05,1.05,female
18,1859,stephanie williams,female,0.97,0.97,female
19,1882,juan guacaneme,male,0.96,0.96,male
20,1886,micheal brown,male,0.96,0.96,male
21,1937,shelley bauman,female,0.94,0.94,female
22,2084,elizabeth pozo,female,0.86,0.86,female
23,2109,florencia sanmartin,female,0.85,0.85,female
24,2161,ramone hall,male,0.84,0.84,male
25,2178,robert rall,male,0.83,0.83,male
26,2303,lisette artze,female,0.77,0.77,female
27,2504,jacob baziak,male,0.68,0.68,male
28,2501,amina wong-cooper,female,0.68,0.68,female
29,2811,merrill noel,male,0.54,0.54,male
30,3127,yves exilus,male,0.4,0.4,male
31,3170,quakiiya tigner,female,0.38,0.38,female
32,3190,carly lipper,female,0.37,0.37,female
33,3244,andres tejera,male,0.35,0.35,male
34,3258,ryan franz,male,0.34,0.34,male
35,3335,ellyaher lanza,male,0.3,0.3,male
36,3507,aaliyah lovo,female,0.22,0.22,female
37,3511,alfred melchor,male,0.22,0.22,male
38,3562,crissie wilson,female,0.19,0.19,female
39,3988,eddie whitehead,male,-0.03,-0.03,male
40,4096,marlon greene,male,-0.1,-0.1,male
41,4226,donny evans,male,-0.19,-0.19,male
42,4382,brandon whitfield,male,-0.31,-0.31,male
43,4447,anthony donaldson,female,-0.36,-0.36,female
44,4538,edwin chaj,male,-0.45,-0.45,male
45,4568,tommy johnson,male,-0.48,-0.48,male
46,4614,coy daniels,male,-0.53,-0.53,male
47,4688,anthony mcdougle,male,-0.6,-0.6,male
48,4765,angelo osceola,male,-0.72,-0.72,male
49,4863,jasmine jacques,female,-0.94,-0.94,female
