doc_id,D,name,sex,Points,CareerPoints
1,1,Carmelo Anthony,male,26126,26126
9,9,Merlakia Jones,female,2353,2353
11,11,Kedra Holland-Corn,female,1938,1938
12,12,Elaine Powell,female,1505,1505
14,14,Tonya Edwards,female,1119,1119
20,20,Nia Coffey,female,741,741
21,21,Jenna O'Hea,female,679,679
22,22,Satou Sabally,female,549,549
24,24,Chantelle Anderson,female,503,503
25,25,Teresa Edwards,female,375,375
26,26,Tora Suber,female,332,332
27,27,Megan Walker,female,229,229
29,29,Paul McCracken,male,160,160
30,30,Robin Threatt-Elliott,male,155,155
31,31,Naz Hillmon,female,150,150
32,32,Lauren Cox,female,118,118
33,33,John Turner,male,117,117
34,34,Milena Flores,female,112,112
35,35,Marshall Rogers,male,100,100
36,36,Audrey Sauret,female,100,100
37,37,Sandra Van Embricqs,female,94,94
38,38,Russ Smith,male,83,83
39,39,Todd Mundt,male,74,74
40,40,Michelle Campbell,female,60,60
41,41,Nicolas Laprovittola,male,59,59
42,42,Courtney Coleman,female,36,36
43,43,Julius Nwosu,male,31,31
44,44,Scott Sims,male,30,30
45,45,Danielle Crockrom,female,29,29
46,46,Endy Miyem,male,27,27
47,47,Debra Williams,female,27,27
48,48,Margold Clark,female,7,7
49,49,Will Conroy,male,7,7
50,50,Darrell Elston,male,5,5
2,2,Walter Davis,male,20445,20445
3,3,LaSalle Thompson,male,8875,8875
4,4,Mike James,male,8290,8290
5,5,Louis Orr,male,5545,5545
6,6,Terry Dehere,male,3318,3318
7,7,Khalid Reeves,male,2962,2962
8,8,Ed Fleming,male,2511,2511
10,10,Joe Hassett,male,2079,2079
13,13,Jack Kerris,male,1137,1137
15,15,Tim Frazier,male,1100,1100
16,16,Alex Montgomery,male,902,902
17,17,Harold Ellis,male,840,840
18,18,Delaney Rudd,female,816,816
19,19,Alicia Thompson,female,759,759
23,23,John Shasky,male,517,517
28,28,Devin Ebanks,male,224,224
