doc_id,D,name,sex,Points,CareerPoints
1,1,Oscar Robertson*,male,26710,26710
4,4,Sidney Moncrief,female,11931,11931
2,2,Nick Van,male,13980,13980
7,7,Seimone Augustus,female,6005,6005
3,3,Bill Cartwright,male,12713,12713
14,14,Freddie Crawford,female,2858,2858
5,5,Ron Brewer,male,9578,9578
17,17,LaToya Thomas,female,1390,1390
6,6,Kyrie Irving,male,8232,8232
18,18,Teaira McCowan,female,1304,1304
8,8,Gordan Giricek,male,5757,5757
19,19,Erin Perperoglou,female,1232,1232
9,9,Charles Johnson,male,4764,4764
20,20,Jessica Davenport,female,1148,1148
10,10,Kwame Brown,male,4219,4219
23,23,Janice Braxton,female,733,733
11,11,Brian Skinner,male,3300,3300
24,24,Jessie Hicks,female,705,705
12,12,Al Butler,male,3109,3109
25,25,Krystal Thomas,female,636,636
13,13,Norris Cole,male,3079,3079
26,26,Pamela McGee,female,488,488
15,15,Predrag Drobnjak,male,2187,2187
27,27,Nadine Malcolm,female,413,413
16,16,Jake Tsakalidis,male,1581,1581
28,28,Teresa Edwards,female,375,375
21,21,Cole Aldrich,male,1138,1138
29,29,Laura Harper,female,338,338
22,22,Nate Hawthorne,male,882,882
31,31,Megan Walker,female,229,229
30,30,Craig Shelton,male,240,240
32,32,Ewelina Kobryn,female,215,215
41,41,David Pope,male,62,62
33,33,Ashley Shields,female,161,161
42,42,John Fairchild,male,60,60
34,34,Vedrana Grgin-Fonseca,female,151,151
43,43,Grady O'Malley,male,50,50
35,35,Kasha Terry,female,117,117
45,45,Stanley Brundy,male,37,37
36,36,Milena Flores,female,112,112
46,46,Zeke Sinicola,male,13,13
37,37,Sandra Van Embricqs,female,94,94
49,49,Patrick Christopher,male,6,6
38,38,Kathrin Ress,female,85,85
39,39,Mikiah Herbert Harrigan,female,79,79
40,40,D.J. Strawberry,female,73,73
44,44,Candace Futrell,female,42,42
47,47,Zuzana Zirkova,female,11,11
48,48,Rennia Davis,female,10,10
50,50,Chandra Johnson,female,6,6
