doc_id,D,name,sex,Points,CareerPoints
1,1,Carmelo Anthony,male,26126,26126
2,2,Jeff Malone,male,18679,18679
8,8,DeWanna Bonner,female,6184,6184
11,11,Chasity Melvin,female,3814,3814
3,3,Junior Bridgeman,male,11517,11517
13,13,Merlakia Jones,female,2353,2353
14,14,Coco Miller,female,2032,2032
4,4,John Lucas,male,11098,11098
15,15,Brittney Sykes,female,2019,2019
18,18,Butch Lee,female,1546,1546
19,19,Erlana Larkins,female,1445,1445
5,5,Jon McGlocklin,male,9169,9169
20,20,Tayler Hill,female,1280,1280
21,21,Marina Mabrey,female,1203,1203
6,6,Carl Landry,male,7787,7787
22,22,Ukari Figgs,female,980,980
23,23,Alex Montgomery,female,902,902
7,7,Jared Dudley,male,6492,6492
24,24,Yvonne Turner,female,529,529
25,25,Chantel Tremitiere,female,438,438
9,9,Shaun Livingston,male,5317,5317
26,26,Dontonio Wingfield,female,423,423
31,31,Tausha Mills,female,267,267
10,10,Danny Green,male,4155,4155
32,32,Evanthia Maltsi,female,147,147
34,34,Naomi Mulitauaopele,female,99,99
12,12,George Trapp,male,3353,3353
35,35,Sandra Van Embricqs,female,94,94
36,36,Adrienne Shuler,female,89,89
16,16,Reggie Harding,male,1839,1839
37,37,Pauline Jordan,female,74,74
39,39,A'dia Mathies,female,68,68
17,17,Brian Scalabrine,male,1594,1594
41,41,Stacy Frese,female,62,62
42,42,Rachel Hollivay,female,48,48
27,27,Troy Williams,male,370,370
43,43,Jamel Thomas,female,47,47
45,45,Adut Bulgak,female,36,36
28,28,Lawrence Roberts,male,334,334
46,46,Jerry Baskerville,female,26,26
47,47,Eddie Owens,female,21,21
29,29,Gary Garland,male,334,334
49,49,Stephanie Watts,female,15,15
30,30,Andrea Nagy,male,327,327
33,33,Fred VanVleet,male,107,107
38,38,Scott Meents,male,72,72
40,40,Rui Machida,male,65,65
44,44,Stanley Brundy,male,37,37
48,48,John Pinone,male,20,20
50,50,Phil Martin,male,12,12
