q_id,doc_id,Gender,Name,NumSeasons,AvgPER,CareerPoints,BTN,NMSOR,GAPI,https://api.deepseek.com
1,1,male,Oscar Robertson*,14,22.81,26710,male,male,male,male
1,2,male,Nick Van,15,15.7,13980,male,male,male,male
1,3,male,Bill Cartwright,15,13.5,12713,male,male,male,male
1,4,male,Sidney Moncrief,11,17.75,11931,female,female,male,male
1,5,male,Ron Brewer,20,11.38,9578,male,male,male,male
1,6,male,Kyrie Irving,6,21.22,8232,male,female,female,male
1,7,female,Seimone Augustus,15,18.39,6005,female,female,female,female
1,8,male,Gordan Giricek,13,11.28,5757,male,male,male,male
1,9,male,Charles Johnson,9,12.16,4764,male,female,male,male
1,10,male,Kwame Brown,14,11.38,4219,male,female,male,male
1,11,male,Brian Skinner,18,9.23,3300,male,female,male,male
1,12,male,Al Butler,6,12.63,3109,male,female,male,male
1,13,male,Norris Cole,8,9.28,3079,male,female,male,male
1,14,male,Freddie Crawford,9,11.3,2858,female,female,male,male
1,15,male,Predrag Drobnjak,4,12.62,2187,male,male,male,male
1,16,male,Jake Tsakalidis,9,11.11,1581,male,female,male,male
1,17,female,LaToya Thomas,6,15.02,1390,female,female,female,female
1,18,female,Teaira McCowan,4,22.15,1304,female,female,female,female
1,19,female,Erin Perperoglou,8,13.55,1232,female,female,female,female
1,20,female,Jessica Davenport,6,16.77,1148,female,female,female,female
1,21,male,Cole Aldrich,9,14.44,1138,male,female,male,male
1,22,male,Nate Hawthorne,3,12.6,882,male,female,male,male
1,23,female,Janice Braxton,3,18.13,733,female,female,female,female
1,24,female,Jessie Hicks,6,12.78,705,female,female,female,female
1,25,female,Krystal Thomas,7,8.73,636,female,female,female,female
1,26,female,Pamela McGee,2,13.9,488,female,female,female,female
1,27,female,Nadine Malcolm,2,10.85,413,female,female,female,female
1,28,female,Teresa Edwards,2,11.45,375,female,female,female,female
1,29,female,Laura Harper,2,13.2,338,female,female,female,female
1,30,male,Craig Shelton,2,7.3,240,male,female,male,male
1,31,female,Megan Walker,3,4.13,229,female,female,female,female
1,32,female,Ewelina Kobryn,3,7.47,215,female,female,female,female
1,33,female,Ashley Shields,2,4.15,161,female,female,female,female
1,34,female,Vedrana Grgin-Fonseca,3,7.23,151,female,female,female,female
1,35,female,Kasha Terry,2,8.25,117,female,female,female,female
1,36,female,Milena Flores,1,7.1,112,female,female,female,female
1,37,female,Sandra Van Embricqs,1,10.9,94,female,female,female,female
1,38,female,Kathrin Ress,1,5.6,85,female,female,female,female
1,39,female,Mikiah Herbert Harrigan,2,5.0,79,female,female,male,female
1,40,male,D.J. Strawberry,1,6.2,73,female,female,male,male
1,41,male,David Pope,2,5.65,62,male,female,male,male
1,42,male,John Fairchild,1,3.9,60,male,male,male,male
1,43,male,Grady O'Malley,1,8.6,50,male,female,male,male
1,44,female,Candace Futrell,1,11.4,42,female,female,female,female
1,45,male,Stanley Brundy,1,10.1,37,male,male,male,male
1,46,male,Zeke Sinicola,2,-4.4,13,male,female,male,male
1,47,female,Zuzana Zirkova,1,14.3,11,female,female,female,female
1,48,female,Rennia Davis,1,3.8,10,female,female,female,female
1,49,male,Patrick Christopher,1,-2.6,6,male,male,male,male
1,50,female,Chandra Johnson,1,2.5,6,female,female,male,female
