doc_id,D,name,Points,CareerPoints
1,1,John Havlicek*,26395,26395
2,2,Billy Knight,12079,12079
7,7,Skylar Diggins-Smith,4217,4217
13,13,Jessica Breland,1918,1918
3,3,Terry Tyler,8868,8868
16,16,Erlana Larkins,1445,1445
18,18,Teaira McCowan,1304,1304
4,4,Chris Morris,8184,8184
21,21,James Ennis,1059,1059
22,22,Alex Montgomery,902,902
23,23,Nate Hawthorne,882,882
5,5,Nenad Krstic,4785,4785
24,24,Lindsay Allen,431,431
25,25,Katie Gearlds,385,385
6,6,Crystal Langhorne,4433,4433
28,28,Kaila Charles,242,242
29,29,Megan Walker,229,229
8,8,Michael Smith,3476,3476
30,30,Jim Ware,143,143
31,31,Charli Collier,130,130
9,9,Al Butler,3109,3109
32,32,Bob Wiesenhahn,119,119
33,33,Milena Flores,112,112
10,10,Norris Cole,3079,3079
34,34,Kim Smith,107,107
35,35,Jonathan Gibson,106,106
11,11,Fred Hoiberg,2944,2944
36,36,Brooke Smith,102,102
37,37,Shane Heal,97,97
12,12,Zach LaVine,2817,2817
38,38,Liz Moeggenberg,95,95
39,39,Karlie Samuelson,82,82
40,40,Katrina Hibbert,53,53
41,41,Chuckie Williams,37,37
42,42,Kysre Gondrezick,36,36
43,43,Kelley Cain,34,34
44,44,Dymond Simon,30,30
45,45,John Windsor,27,27
46,46,Wendi Willits,17,17
47,47,Erik Daniels,13,13
48,48,Alvin Sims,11,11
49,49,Chandra Johnson,6,6
50,50,Red Davis,2,2
14,14,Reggie Harding,1839,1839
15,15,Jake Tsakalidis,1581,1581
17,17,Courtney Paris,1404,1404
19,19,Eva Nemcova,1304,1304
20,20,Don Henriksen,1297,1297
26,26,Teresa Edwards,375,375
27,27,Gary Garland,334,334
