doc_id,Name,Gender,predictions,GT_score,Gender
91,Sam Perkins,male,16360,16360,male
128,Dan Issel*,male,14659,14659,male
486,Tina Charles,female,7115,7115,female
1075,Adrienne Goodson,female,2705,2705,female
165,Rudy Tomjanovich,male,13383,13383,male
1346,Aerial Powers,female,1744,1744,female
1460,Charlotte Smith,female,1412,1412,female
201,Jamal Mashburn,male,12466,12466,male
1742,Kayla Alexander,female,818,818,female
1781,Michelle Edwards,female,760,760,female
1810,Isabelle Fijalkowski,female,715,715,female
306,Gus Johnson*,male,9944,9944,male
1950,Reshanda Gray,female,542,542,female
2088,Tasha Humphrey,female,419,419,female
445,Jim Chones,male,7664,7664,male
2132,Michelle Marciniak,female,381,381,female
2264,Avery Warley-Talbert,female,291,291,female
526,Pat Cummings,male,6529,6529,male
2372,Kelly Faris,female,233,233,female
2516,Kalani Brown,female,176,176,female
2534,Sonja Tate,female,170,170,female
742,Harrison Barnes,male,4605,4605,male
2539,Kate Paye,female,168,168,female
2558,Marta Xargay,female,163,163,female
799,Bob Hansen,male,4125,4125,male
2728,Alex Harden,female,106,106,female
2802,Jocelyn Penn,female,90,90,female
952,Darko Milicic,male,3294,3294,male
2915,Quianna Chaney,female,68,68,female
2979,Porsha Phillips,female,55,55,female
3105,Erin Alexander,female,39,39,female
973,Michael Doleac,male,3207,3207,male
3126,Heather Owen,female,36,36,female
3531,Julie Wojta,female,6,6,female
1104,Jan Van,male,2596,2596,male
3687,Cedric Hunter,female,0,0,female
3685,E.C. Hill,female,0,0,female
1193,Jon Leuer,male,2252,2252,male
1399,Rod Foster,male,1562,1562,male
1594,Fabricio Oberto,male,1081,1081,male
1621,Dario Saric,male,1040,1040,male
2111,Gary Hill,male,397,397,male
2113,Jeremy Tyler,male,395,395,male
2154,Wallace Bryant,male,364,364,male
2711,Bob Martin,male,113,113,male
3119,Omar Cook,male,37,37,male
3242,Connie Rea,male,23,23,male
3376,Jerry Grote,male,14,14,male
3393,George McLeod,male,12,12,male
3712,Dexter Shouse,male,0,0,male
