doc_id,D,name,Points,CareerPoints
1,1,Carmelo Anthony,26126,26126
2,2,Jeff Malone,18679,18679
7,7,Jared Dudley,6492,6492
11,11,Chasity Melvin,3814,3814
3,3,Junior Bridgeman,11517,11517
16,16,Reggie Harding,1839,1839
18,18,Butch Lee,1546,1546
4,4,John Lucas,11098,11098
21,21,Marina Mabrey,1203,1203
22,22,Ukari Figgs,980,980
23,23,Alex Montgomery,902,902
5,5,Jon McGlocklin,9169,9169
24,24,Yvonne Turner,529,529
25,25,Chantel Tremitiere,438,438
6,6,Carl Landry,7787,7787
28,28,Lawrence Roberts,334,334
30,30,Andrea Nagy,327,327
8,8,DeWanna Bonner,6184,6184
31,31,Tausha Mills,267,267
32,32,Evanthia Maltsi,147,147
33,33,Fred VanVleet,107,107
9,9,Shaun Livingston,5317,5317
34,34,Naomi Mulitauaopele,99,99
35,35,Sandra Van Embricqs,94,94
10,10,Danny Green,4155,4155
37,37,Pauline Jordan,74,74
38,38,Scott Meents,72,72
12,12,George Trapp,3353,3353
39,39,A'dia Mathies,68,68
40,40,Rui Machida,65,65
41,41,Stacy Frese,62,62
13,13,Merlakia Jones,2353,2353
49,49,Stephanie Watts,15,15
48,48,John Pinone,20,20
14,14,Coco Miller,2032,2032
15,15,Brittney Sykes,2019,2019
17,17,Brian Scalabrine,1594,1594
19,19,Erlana Larkins,1445,1445
20,20,Tayler Hill,1280,1280
26,26,Dontonio Wingfield,423,423
27,27,Troy Williams,370,370
29,29,Gary Garland,334,334
36,36,Adrienne Shuler,89,89
42,42,Rachel Hollivay,48,48
44,44,Stanley Brundy,37,37
45,45,Adut Bulgak,36,36
46,46,Jerry Baskerville,26,26
50,50,Phil Martin,12,12
43,43,Jamel Thomas,47,47
47,47,Eddie Owens,21,21
