doc_id,D,name,Points,CareerPoints
1,1,Paul Pierce,26397,26397
2,2,Eddie Jones,15428,15428
6,6,DeWanna Bonner,6184,6184
7,7,Robert Pack,5692,5692
3,3,Corey Maggette,13198,13198
4,4,Kyrie Irving,8232,8232
5,5,Maurice Taylor,6361,6361
8,8,Sheryl Swoopes,4875,4875
9,9,Nenad Krstic,4785,4785
10,10,Walter Berry,4492,4492
11,11,Charlie Ward,4371,4371
12,12,Al-Farouq Aminu,3766,3766
13,13,Shavonte Zellous,3103,3103
14,14,Bismack Biyombo,2176,2176
15,15,Latasha Byears,1935,1935
16,16,Bridget Pettis,1408,1408
17,17,LaToya Thomas,1390,1390
18,18,Henry James,1359,1359
19,19,Nicky Anosike,1244,1244
20,20,Von Wafer,1100,1100
21,21,Malcolm Brogdon,767,767
22,22,Nia Coffey,741,741
23,23,Jenna O'Hea,679,679
24,24,Elena Tornikidou,657,657
25,25,Jessica Moore,633,633
26,26,Kara Wolters,561,561
27,27,Kristin Haynie,555,555
28,28,Satou Sabally,549,549
29,29,Niele Ivey,408,408
30,30,Taurean Waller-Prince,335,335
31,31,Melvin Booker,288,288
32,32,Tausha Mills,267,267
33,33,Delon Wright,253,253
34,34,Maylana Martin,227,227
35,35,Chris Herren,224,224
36,36,Ashley Shields,161,161
37,37,Daniel Orton,143,143
38,38,Clinton Smith,134,134
39,39,Angie Potthoff,127,127
40,40,Jerry Greenspan,122,122
41,41,Fred VanVleet,107,107
42,42,Brooke Smith,102,102
43,43,Blake Ahearn,88,88
44,44,Kathrin Ress,85,85
45,45,Mikiah Herbert Harrigan,79,79
46,46,Bob Williams,70,70
47,47,Linnae Harper,48,48
48,48,Willie Williams,46,46
49,49,Carla Thomas,43,43
50,50,Gennifer Brandon,28,28
