doc_id,D,name,Points,CareerPoints
1,1,Carmelo Anthony,26126,26126
14,14,Tonya Edwards,1119,1119
2,2,Walter Davis,20445,20445
21,21,Jenna O'Hea,679,679
9,9,Merlakia Jones,2353,2353
24,24,Chantelle Anderson,503,503
11,11,Kedra Holland-Corn,1938,1938
7,7,Khalid Reeves,2962,2962
3,3,LaSalle Thompson,8875,8875
8,8,Ed Fleming,2511,2511
12,12,Elaine Powell,1505,1505
30,30,Robin Threatt-Elliott,155,155
4,4,Mike James,8290,8290
31,31,Naz Hillmon,150,150
16,16,Alex Montgomery,902,902
32,32,Lauren Cox,118,118
19,19,Alicia Thompson,759,759
10,10,Joe Hassett,2079,2079
5,5,Louis Orr,5545,5545
13,13,Jack Kerris,1137,1137
20,20,Nia Coffey,741,741
40,40,Michelle Campbell,60,60
22,22,Satou Sabally,549,549
15,15,Tim Frazier,1100,1100
6,6,Terry Dehere,3318,3318
42,42,Courtney Coleman,36,36
25,25,Teresa Edwards,375,375
45,45,Danielle Crockrom,29,29
26,26,Tora Suber,332,332
46,46,Endy Miyem,27,27
27,27,Megan Walker,229,229
17,17,Harold Ellis,840,840
34,34,Milena Flores,112,112
48,48,Margold Clark,7,7
36,36,Audrey Sauret,100,100
18,18,Delaney Rudd,816,816
37,37,Sandra Van Embricqs,94,94
23,23,John Shasky,517,517
47,47,Debra Williams,27,27
28,28,Devin Ebanks,224,224
33,33,John Turner,117,117
29,29,Paul McCracken,160,160
38,38,Russ Smith,83,83
35,35,Marshall Rogers,100,100
39,39,Todd Mundt,74,74
43,43,Julius Nwosu,31,31
41,41,Nicolas Laprovittola,59,59
44,44,Scott Sims,30,30
50,50,Darrell Elston,5,5
49,49,Will Conroy,7,7
