doc_id,D,name,Points,CareerPoints
7,7,Seimone Augustus,6005,6005
1,1,Oscar Robertson*,26710,26710
17,17,LaToya Thomas,1390,1390
2,2,Nick Van,13980,13980
18,18,Teaira McCowan,1304,1304
3,3,Bill Cartwright,12713,12713
19,19,Erin Perperoglou,1232,1232
4,4,Sidney Moncrief,11931,11931
20,20,Jessica Davenport,1148,1148
5,5,Ron Brewer,9578,9578
23,23,Janice Braxton,733,733
6,6,Kyrie Irving,8232,8232
24,24,Jessie Hicks,705,705
8,8,Gordan Giricek,5757,5757
25,25,Krystal Thomas,636,636
9,9,Charles Johnson,4764,4764
26,26,Pamela McGee,488,488
10,10,Kwame Brown,4219,4219
27,27,Nadine Malcolm,413,413
11,11,Brian Skinner,3300,3300
28,28,Teresa Edwards,375,375
12,12,Al Butler,3109,3109
29,29,Laura Harper,338,338
13,13,Norris Cole,3079,3079
31,31,Megan Walker,229,229
14,14,Freddie Crawford,2858,2858
32,32,Ewelina Kobryn,215,215
15,15,Predrag Drobnjak,2187,2187
33,33,Ashley Shields,161,161
16,16,Jake Tsakalidis,1581,1581
34,34,Vedrana Grgin-Fonseca,151,151
21,21,Cole Aldrich,1138,1138
35,35,Kasha Terry,117,117
22,22,Nate Hawthorne,882,882
36,36,Milena Flores,112,112
30,30,Craig Shelton,240,240
37,37,Sandra Van Embricqs,94,94
40,40,D.J. Strawberry,73,73
38,38,Kathrin Ress,85,85
41,41,David Pope,62,62
39,39,Mikiah Herbert Harrigan,79,79
42,42,John Fairchild,60,60
44,44,Candace Futrell,42,42
43,43,Grady O'Malley,50,50
45,45,Stanley Brundy,37,37
47,47,Zuzana Zirkova,11,11
46,46,Zeke Sinicola,13,13
48,48,Rennia Davis,10,10
49,49,Patrick Christopher,6,6
50,50,Chandra Johnson,6,6
