doc_id,D,name,Points,CareerPoints
1,1,Hakeem Olajuwon*,26946,26946
2,2,Armen Gilliam,15213,15213
7,7,Tobias Harris,7024,7024
11,11,George Wilson,3141,3141
3,3,John Lucas,11098,11098
14,14,Odyssey Sims,2915,2915
15,15,Jessica Breland,1918,1918
16,16,Kamila Vodichkova,1779,1779
4,4,Marc Gasol,9592,9592
17,17,Tyler Johnson,1506,1506
18,18,Tim Bassett,1424,1424
5,5,Marvin Williams,9122,9122
21,21,Katie Mattera,1000,1000
22,22,Walter Bond,980,980
23,23,Bill Dinwiddie,974,974
6,6,Wilson Chandler,8315,8315
24,24,Alexis Hornbuckle,866,866
25,25,Andre Spencer,692,692
8,8,Mario Elie,6502,6502
26,26,Aari McDonald,587,587
27,27,Al Masino,560,560
9,9,Udonis Haslem,6478,6478
28,28,John Shasky,517,517
29,29,Sonja Henning,490,490
10,10,Blair Rasmussen,5119,5119
30,30,Pamela McGee,488,488
31,31,Reggie Carter,471,471
32,32,Te'a Cooper,420,420
33,33,Teresa Edwards,375,375
34,34,Coretta Brown,344,344
35,35,Shakira Austin,312,312
36,36,Nayo Raincock-Ekunwe,221,221
37,37,Kristy Wallace,190,190
38,38,Kim Smith,107,107
39,39,Mikiko Hagiwara,98,98
40,40,Brooke McCarty-Williams,81,81
41,41,Mfon Udoka,80,80
42,42,Katrina Hibbert,53,53
43,43,Amanda Thompson,47,47
44,44,Carla Thomas,43,43
45,45,Courtney Coleman,36,36
46,46,Rich Laurel,24,24
47,47,Sun Yue,6,6
48,48,Kiana Williams,5,5
49,49,Roger Strickland,2,2
50,50,Ben Bentil,0,0
12,12,Dale Schlueter,3130,3130
13,13,Fred Hoiberg,2944,2944
19,19,Teaira McCowan,1304,1304
20,20,Jessica Davenport,1148,1148
