doc_id,D,name,Points,CareerPoints
1,1,Carmelo Anthony,26126,26126
9,9,Merlakia Jones,2353,2353
2,2,Walter Davis,20445,20445
11,11,Kedra Holland-Corn,1938,1938
3,3,LaSalle Thompson,8875,8875
12,12,Elaine Powell,1505,1505
4,4,Mike James,8290,8290
14,14,Tonya Edwards,1119,1119
5,5,Louis Orr,5545,5545
16,16,Alex Montgomery,902,902
6,6,Terry Dehere,3318,3318
18,18,Delaney Rudd,816,816
7,7,Khalid Reeves,2962,2962
19,19,Alicia Thompson,759,759
8,8,Ed Fleming,2511,2511
20,20,Nia Coffey,741,741
10,10,Joe Hassett,2079,2079
21,21,Jenna O'Hea,679,679
13,13,Jack Kerris,1137,1137
22,22,Satou Sabally,549,549
15,15,Tim Frazier,1100,1100
24,24,Chantelle Anderson,503,503
17,17,Harold Ellis,840,840
25,25,Teresa Edwards,375,375
23,23,John Shasky,517,517
26,26,Tora Suber,332,332
28,28,Devin Ebanks,224,224
27,27,Megan Walker,229,229
29,29,Paul McCracken,160,160
30,30,Robin Threatt-Elliott,155,155
33,33,John Turner,117,117
31,31,Naz Hillmon,150,150
35,35,Marshall Rogers,100,100
32,32,Lauren Cox,118,118
38,38,Russ Smith,83,83
34,34,Milena Flores,112,112
39,39,Todd Mundt,74,74
36,36,Audrey Sauret,100,100
41,41,Nicolas Laprovittola,59,59
37,37,Sandra Van Embricqs,94,94
43,43,Julius Nwosu,31,31
40,40,Michelle Campbell,60,60
44,44,Scott Sims,30,30
42,42,Courtney Coleman,36,36
49,49,Will Conroy,7,7
45,45,Danielle Crockrom,29,29
50,50,Darrell Elston,5,5
46,46,Endy Miyem,27,27
47,47,Debra Williams,27,27
48,48,Margold Clark,7,7
