doc_id,D,name,sex,Points,CareerPoints
1,1,Carmelo Anthony,female,26126,26126
2,2,Jeff Malone,male,18679,18679
4,4,John Lucas,male,11098,11098
5,5,Jon McGlocklin,male,9169,9169
6,6,Carl Landry,male,7787,7787
3,3,Junior Bridgeman,female,11517,11517
7,7,Jared Dudley,female,6492,6492
8,8,DeWanna Bonner,female,6184,6184
9,9,Shaun Livingston,female,5317,5317
10,10,Danny Green,female,4155,4155
11,11,Chasity Melvin,female,3814,3814
12,12,George Trapp,female,3353,3353
13,13,Merlakia Jones,female,2353,2353
14,14,Coco Miller,female,2032,2032
15,15,Brittney Sykes,female,2019,2019
16,16,Reggie Harding,female,1839,1839
17,17,Brian Scalabrine,female,1594,1594
18,18,Butch Lee,female,1546,1546
19,19,Erlana Larkins,female,1445,1445
20,20,Tayler Hill,female,1280,1280
21,21,Marina Mabrey,female,1203,1203
22,22,Ukari Figgs,female,980,980
23,23,Alex Montgomery,female,902,902
24,24,Yvonne Turner,female,529,529
25,25,Chantel Tremitiere,female,438,438
26,26,Dontonio Wingfield,male,423,423
27,27,Troy Williams,female,370,370
28,28,Lawrence Roberts,female,334,334
29,29,Gary Garland,female,334,334
30,30,Andrea Nagy,female,327,327
31,31,Tausha Mills,female,267,267
32,32,Evanthia Maltsi,female,147,147
33,33,Fred VanVleet,male,107,107
34,34,Naomi Mulitauaopele,female,99,99
35,35,Sandra Van Embricqs,female,94,94
36,36,Adrienne Shuler,female,89,89
37,37,Pauline Jordan,female,74,74
38,38,Scott Meents,female,72,72
39,39,A'dia Mathies,female,68,68
40,40,Rui Machida,female,65,65
41,41,Stacy Frese,female,62,62
42,42,Rachel Hollivay,female,48,48
43,43,Jamel Thomas,female,47,47
44,44,Stanley Brundy,male,37,37
45,45,Adut Bulgak,female,36,36
46,46,Jerry Baskerville,female,26,26
47,47,Eddie Owens,female,21,21
48,48,John Pinone,male,20,20
49,49,Stephanie Watts,female,15,15
50,50,Phil Martin,female,12,12
