doc_id,D,name,sex,Points,CareerPoints
1,1,Carmelo Anthony,male,26126,26126
2,2,Johnny Dawkins,male,5984,5984
7,7,C.J. McCollum,male,4128,4128
13,13,Eva Nemcova,female,1304,1304
3,3,Sheryl Swoopes,female,4875,4875
16,16,Jessica Davenport,female,1148,1148
18,18,Janice Braxton,female,733,733
4,4,Don Buse,male,4485,4485
21,21,Kristin Haynie,female,555,555
22,22,Cindy Brown,female,532,532
23,23,Jaylen Brown,male,515,515
5,5,Crystal Langhorne,female,4433,4433
24,24,Lester Hudson,male,500,500
25,25,Sonja Henning,female,490,490
6,6,Kwame Brown,male,4219,4219
28,28,Kyle Weaver,male,363,363
30,30,Paul Long,male,274,274
8,8,Eduardo Najera,male,3563,3563
31,31,Ewelina Kobryn,female,215,215
32,32,Yelena Leuchanka,female,207,207
33,33,Nikolina Milic,female,185,185
9,9,George Trapp,male,3353,3353
34,34,Howard Wood,male,144,144
35,35,Cierra Burdick,female,96,96
10,10,Briann January,female,3084,3084
37,37,Ron Horn,male,77,77
38,38,Bob Williams,male,70,70
11,11,Odyssey Sims,female,2915,2915
39,39,Adam Harrington,male,60,60
40,40,Anthony Grundy,male,52,52
41,41,Alexis Prince,female,50,50
12,12,Damiris Dantas,female,1550,1550
43,43,Desmond Penigar,male,32,32
47,47,Stephanie Watts,female,15,15
14,14,Travis Knight,male,1276,1276
49,49,Chad Gallagher,male,6,6
48,48,Mike O'Neill,male,12,12
15,15,Teresa Weatherspoon,female,1264,1264
17,17,Sylvia Crawley,female,1050,1050
19,19,Michael Wiley,male,692,692
20,20,Jessica Moore,female,633,633
26,26,Cristiano Felicio,male,421,421
27,27,Katie Gearlds,female,385,385
29,29,Coretta Brown,female,344,344
36,36,Josh Selby,male,83,83
42,42,Carla Thomas,female,43,43
44,44,Kamiah Smalls,female,31,31
45,45,Nadine Domond,female,27,27
46,46,John Pinone,male,20,20
50,50,Ed Earle,male,4,4
