doc_id,D,name,sex,Points,CareerPoints
1,1,Carmelo Anthony,female,26126,26126
2,2,Johnny Dawkins,female,5984,5984
3,3,Sheryl Swoopes,female,4875,4875
4,4,Don Buse,female,4485,4485
8,8,Eduardo Najera,male,3563,3563
5,5,Crystal Langhorne,female,4433,4433
6,6,Kwame Brown,female,4219,4219
7,7,C.J. McCollum,female,4128,4128
24,24,Lester Hudson,male,500,500
9,9,George Trapp,female,3353,3353
10,10,Briann January,female,3084,3084
11,11,Odyssey Sims,female,2915,2915
30,30,Paul Long,male,274,274
12,12,Damiris Dantas,female,1550,1550
13,13,Eva Nemcova,female,1304,1304
14,14,Travis Knight,female,1276,1276
34,34,Howard Wood,male,144,144
15,15,Teresa Weatherspoon,female,1264,1264
16,16,Jessica Davenport,female,1148,1148
17,17,Sylvia Crawley,female,1050,1050
36,36,Josh Selby,male,83,83
18,18,Janice Braxton,female,733,733
19,19,Michael Wiley,female,692,692
20,20,Jessica Moore,female,633,633
21,21,Kristin Haynie,female,555,555
37,37,Ron Horn,male,77,77
22,22,Cindy Brown,female,532,532
23,23,Jaylen Brown,female,515,515
25,25,Sonja Henning,female,490,490
38,38,Bob Williams,male,70,70
26,26,Cristiano Felicio,female,421,421
27,27,Katie Gearlds,female,385,385
28,28,Kyle Weaver,female,363,363
39,39,Adam Harrington,male,60,60
29,29,Coretta Brown,female,344,344
31,31,Ewelina Kobryn,female,215,215
32,32,Yelena Leuchanka,female,207,207
46,46,John Pinone,male,20,20
33,33,Nikolina Milic,female,185,185
35,35,Cierra Burdick,female,96,96
40,40,Anthony Grundy,female,52,52
49,49,Chad Gallagher,male,6,6
41,41,Alexis Prince,female,50,50
42,42,Carla Thomas,female,43,43
43,43,Desmond Penigar,female,32,32
44,44,Kamiah Smalls,female,31,31
50,50,Ed Earle,male,4,4
45,45,Nadine Domond,female,27,27
47,47,Stephanie Watts,female,15,15
48,48,Mike O'Neill,female,12,12
