doc_id,Name,Gender,score,BTN,NMSOR,GAPI
357,Raul E Ochoa,male,0.89143,,,
449,Hanspeter Hoedl,male,0.88493,,,
469,Ryan A Metivier,male,0.88387,,,
565,Daniel Puth,male,0.87775,,,
720,Blazej Szymoniak,male,0.86948,,,
858,Michael G. Brown,male,0.86351,,,
1801,Chris M Krajewski,male,0.83674,,,
1951,Henry E Janssen,male,0.83282,,,
2069,Junior Azevedo,male,0.82961,,,
2554,Dustin G Pitcel,male,0.82043,,,
2750,Michael Conrad,male,0.81589,,,
2826,Matthew Weber,male,0.81489,,,
2854,Samuel Amoroso,male,0.81412,,,
3411,James 'Jay' G III Harrison,male,0.80332,,,
4169,Eleanor F Williamson,female,0.78988,,,
4223,Christina Rehbein,female,0.78955,,,
4371,Ailin Li,female,0.78635,,,
4628,Zaijun Li,male,0.78233,,,
5592,Jillian L Cordes,female,0.76937,,,
7686,Nicolle Zeman,female,0.74222,,,
7938,Cassandra S Hubick,female,0.73878,,,
8425,Melanie Bearden,female,0.73175,,,
10151,John C Stark,male,0.71263,,,
10873,Megan C Campbell,female,0.70283,,,
11164,Mary Catalogna,female,0.69929,,,
12015,Tara A Pirtz,female,0.68858,,,
12141,Jennifer L Sanchez,female,0.68781,,,
12935,Courtney J Kagarise,female,0.67491,,,
13081,Richard N Repasky,male,0.67328,,,
13253,Carolyn F Thomas,female,0.66946,,,
14066,Holly N Haemmerle,female,0.65516,,,
14697,Marylou K Clayton,female,0.64268,,,
14891,Bill Kinsaul,male,0.63981,,,
15313,Stacey Mason,female,0.63188,,,
16044,David C. Jr. Harrington,male,0.61505,,,
16213,Rick Connell,male,0.61232,,,
16949,Lin Tong,female,0.59354,,,
18405,Donald S Taylor,male,0.54186,,,
18657,Dokyung Kim,male,0.52995,,,
18744,Yumiko Akatsuka,female,0.5277,,,
19053,Ashley G. Rice,female,0.51389,,,
19206,Pat Birdsong,male,0.5061,,,
19361,Peri Schaut,female,0.494,,,
19405,Terry L. Joschko,female,0.49347,,,
19522,Vivek M. Shah,male,0.48554,,,
19569,Paige Legassie,female,0.48167,,,
20137,William J. Matera,male,0.44065,,,
20490,Sasha Griffith,female,0.40761,,,
20734,Courtney Dennis,female,0.37333,,,
20977,Meghan P. Conway,female,0.33389,,,
